Attribute,1,2,3,N
AGE,,,,
Age[<=25 years],320,1016,43875,45211
Age[26 -50 year],3656,30964,10591,45211
Age[51 - 64 years],972,7473,36766,45211
Age[>= 65 years],341,469,44401,45211
MARITAL,,,,
Marital[Single],1912,10878,32421,45211
Marital[Married],2755,24459,17997,45211
Marital[Divorced],622,4585,40004,45211
EDUCATION,,,,
Education[Primary],591,6260,38360,45211
Education[Secondary],2450,20752,22009,45211
Education[Tertiary],1996,11305,31910,45211
Education[unknown],252,1605,43354,45211
BALANCE,,,,
Balance[<= 0],502,6778,37931,45211
Balance[1 - 1500 euro],3009,24027,18175,45211
Balance[1501 - 2000],369,2025,42817,45211
Balance[2001-5000],968,4688,39555,45211
Balance[>=5001],441,2404,42366,45211
HOUSING,,,,
Housing[Yes],1935,23195,20081,45211
Housing[No],3354,16727,25130,45211
LOAN,,,,
Loan[Yes],484,6760,37967,45211
Loan[No],4805,33162,7244,45211
CONTACT,,,,
Contact[Cellular],4369,24916,15926,45211
Contact[Telephone],390,2516,42305,45211
Contact[Unknown],530,12490,32191,45211
DAY,,,,
Day[>=7 days],1233,8565,35413,45211
Day[8 - 14 days],1377,9065,34769,45211
Day[15 - 21 days],55,121,45035,45211
Day[ >= 21 days],1330,9741,34140,45211
MONTH,,,,
Month[Jan],142,1261,43808,45211
Month[Feb],441,2208,42562,45211
Month[Mar],248,2208,42755,45211
Month[Apr],577,2355,42279,45211
Month[May],925,12841,31445,45211
Month[Jun],546,4795,39870,45211
Month[Jul],627,6268,38316,45211
Month[Aug],688,5559,38964,45211
Month[Sep],269,310,44632,45211
Month[Oct],323,415,44473,45211
Month[Nov],403,3567,41241,45211
Month[Dec],100,114,44997,45211
DURATION,,,,
Duration[<= 1000s],4657,39496,1058,45211
Duration[1001 - 2000s],602,397,44212,45211
Duration[2001 - 3000s],24,21,45166,45211
Day[>= 3000s],6,8,45197,45211
CAMPAIGN,,,,
Campaign[>= 7 days],5175,37707,2329,45211
Campaign[7 -14 days],97,1618,43496,45211
Campaign[15 - 31 days],16,0,45195,45211
Campaign[>= 32 days],1,46,45164,45211
PDAYS,,,,
Pdays[Never],3384,33570,8257,45211
Pdays[1 - 30 days],28,159,45024,45211
Pdays[31 - 180 days],886,2079,42246,45211
Pdays[181 - 365 days],783,3582,40846,45211
Pdays[366 - 720 days],175,437,44599,45211
Pdays[>= 721],13,18,45180,45211
PREVIOUS,,,,
Previous[Never],3384,18,41809,45211
Previous[1 -12 times],1866,6162,37183,45211
Previous[13 - 30 times],26,144,45041,45211
Previous[>= 31 times],2,10,45199,45211
POUTCOME,,,,
Poutcome[Unknown],3386,33573,8252,45211
Poutcome[Success],978,533,43700,45211
Poutcome[Failure],618,4283,40310,45211
Poutcome[Other],307,1533,43371,45211